@RELATION student_dataset

@ATTRIBUTE study_hours NUMERIC
@ATTRIBUTE attendance NUMERIC
@ATTRIBUTE passed NUMERIC

@DATA
6.4,51.0,1.0
2.4,58.0,0.0
6.8,84.0,1.0
5.9,52.0,0.0
0.9,64.0,0.0
6.0,85.0,1.0
7.2,94.0,1.0
4.2,78.0,1.0
2.8,50.0,0.0
7.0,71.0,1.0
1.6,98.0,0.0
1.0,74.0,0.0
3.6,72.0,1.0
2.6,52.0,0.0
5.4,74.0,1.0
5.5,90.0,1.0
8.9,73.0,1.0
1.9,54.0,0.0
6.6,99.0,1.0
9.9,64.0,1.0
3.8,79.0,1.0
8.3,60.0,1.0
3.6,92.0,1.0
7.0,93.0,1.0
0.7,90.0,0.0
5.3,65.0,0.0
4.6,67.0,1.0
6.9,64.0,1.0
8.4,99.0,1.0
2.3,52.0,0.0
4.0,54.0,0.0
9.1,86.0,1.0
2.1,81.0,0.0
8.8,91.0,1.0
1.4,58.0,0.0
7.4,84.0,1.0
7.5,77.0,1.0
4.0,64.0,0.0
5.1,55.0,0.0
8.6,59.0,1.0
1.6,93.0,0.0
6.0,74.0,1.0
6.0,79.0,1.0
2.5,85.0,0.0
6.8,57.0,1.0
7.5,99.0,1.0
3.4,68.0,0.0
1.6,50.0,0.0
9.7,98.0,1.0
5.1,56.0,1.0
3.0,90.0,1.0
6.1,59.0,1.0
7.6,84.0,1.0
9.2,88.0,1.0
4.9,57.0,0.0
8.8,69.0,1.0
0.6,86.0,0.0
0.9,81.0,0.0
9.8,84.0,1.0
1.3,80.0,0.0
1.7,83.0,1.0
4.2,63.0,1.0
7.6,94.0,1.0
7.1,75.0,1.0
3.7,83.0,1.0
1.2,64.0,0.0
3.4,87.0,1.0
2.3,64.0,0.0
0.7,90.0,0.0
2.3,52.0,0.0
0.7,65.0,0.0
6.7,63.0,1.0
1.3,86.0,0.0
4.7,100.0,1.0
8.1,62.0,1.0
1.0,77.0,0.0
4.2,79.0,0.0
6.7,91.0,1.0
0.6,96.0,0.0
8.0,56.0,1.0
1.9,84.0,0.0
1.4,61.0,0.0
4.6,54.0,0.0
8.1,85.0,1.0
0.5,84.0,0.0
9.7,98.0,1.0
1.7,81.0,0.0
2.1,75.0,0.0
1.6,50.0,0.0
2.7,100.0,1.0
2.9,94.0,1.0
6.6,81.0,1.0
1.9,63.0,0.0
5.8,84.0,1.0
7.5,53.0,1.0
5.8,82.0,1.0
1.6,82.0,0.0
8.5,54.0,1.0
0.7,65.0,0.0
1.2,86.0,0.0
5.8,52.0,1.0
0.8,92.0,0.0
5.7,70.0,1.0
2.0,95.0,0.0
2.4,75.0,0.0
6.7,69.0,1.0
3.2,98.0,1.0
0.1,89.0,0.0
10.0,54.0,1.0
2.1,66.0,0.0
9.3,54.0,1.0
3.7,60.0,0.0
8.3,95.0,1.0
6.1,91.0,1.0
0.1,85.0,0.0
9.3,56.0,1.0
2.6,56.0,0.0
1.6,68.0,0.0
2.1,71.0,0.0
6.9,66.0,1.0
4.9,53.0,0.0
6.3,67.0,1.0
0.0,99.0,0.0
6.4,66.0,1.0
7.4,85.0,1.0
5.6,57.0,0.0
9.5,94.0,1.0
5.5,73.0,1.0
5.5,77.0,1.0
0.4,73.0,0.0
9.0,63.0,1.0
6.7,72.0,1.0
8.8,76.0,1.0
7.5,65.0,1.0
9.8,61.0,1.0
0.2,97.0,0.0
7.8,76.0,1.0
2.7,100.0,0.0
3.8,52.0,0.0
2.2,79.0,0.0
3.1,100.0,1.0
2.2,92.0,0.0
4.0,67.0,0.0
9.7,67.0,1.0
6.4,75.0,1.0
3.3,51.0,0.0
8.8,66.0,1.0
5.8,66.0,0.0
1.1,77.0,0.0
7.3,70.0,1.0
6.1,82.0,1.0
3.9,86.0,1.0
2.5,95.0,1.0
0.0,84.0,0.0
3.6,54.0,0.0
6.2,92.0,1.0
7.2,69.0,1.0
3.1,76.0,0.0
4.0,68.0,1.0
1.3,76.0,0.0
6.8,61.0,1.0
5.7,75.0,1.0
8.3,69.0,1.0
2.1,100.0,1.0
6.1,70.0,1.0
4.4,93.0,1.0
5.1,100.0,1.0
6.6,68.0,1.0
6.6,89.0,1.0
0.9,98.0,0.0
6.7,64.0,1.0
1.5,52.0,0.0
9.8,89.0,1.0
4.6,90.0,1.0
1.9,94.0,1.0
4.9,65.0,0.0
6.6,50.0,0.0
7.8,64.0,1.0
8.0,94.0,1.0
4.6,85.0,1.0
9.2,57.0,1.0
1.3,79.0,0.0
9.9,88.0,1.0
9.5,78.0,1.0
8.2,82.0,1.0
8.3,85.0,1.0
9.0,97.0,1.0
4.5,98.0,1.0
8.4,67.0,1.0
4.8,65.0,0.0
4.4,95.0,1.0
2.3,71.0,0.0
8.9,55.0,1.0
1.5,74.0,0.0
7.1,54.0,1.0
4.1,84.0,1.0
4.2,63.0,0.0
3.9,99.0,1.0
9.5,51.0,1.0
3.8,50.0,0.0
3.0,74.0,0.0
5.4,97.0,1.0
8.0,64.0,1.0
2.2,77.0,0.0
0.3,71.0,0.0
7.2,79.0,1.0
9.8,84.0,1.0
9.1,87.0,1.0
6.6,55.0,1.0
4.3,79.0,1.0
0.5,74.0,0.0
2.1,70.0,0.0
7.6,74.0,1.0
7.5,76.0,1.0
8.3,80.0,1.0
7.5,53.0,1.0
2.2,54.0,0.0
0.4,51.0,0.0
2.0,51.0,0.0
1.5,58.0,0.0
6.7,86.0,1.0
4.7,66.0,1.0
1.7,88.0,0.0
7.8,60.0,1.0
1.1,51.0,0.0
5.8,74.0,1.0
9.4,62.0,1.0
5.9,90.0,1.0
1.0,99.0,0.0
8.5,88.0,1.0
8.0,86.0,1.0
3.5,77.0,1.0
0.7,91.0,0.0
0.1,76.0,0.0
1.1,73.0,0.0
8.9,79.0,1.0
4.4,96.0,1.0
9.7,67.0,1.0
8.1,84.0,1.0
4.6,96.0,1.0
2.7,65.0,0.0
2.8,78.0,0.0
7.5,86.0,1.0
6.7,71.0,1.0
4.9,70.0,0.0
4.9,72.0,1.0
3.4,88.0,1.0
5.6,83.0,1.0
0.9,96.0,0.0
4.9,98.0,1.0
6.9,91.0,1.0
4.5,51.0,0.0
2.9,75.0,0.0
3.1,87.0,1.0
4.7,83.0,1.0
4.3,97.0,1.0
3.3,94.0,1.0
